sourceSlug,title,category,route,risks,duplicates
"b0bBHO","你好，我想下载某个网站中的视频如何操作？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/b0bBHO","external-link",""
"F57Nik","八爪鱼采集器为什么打不开？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/F57Nik","",""
"lir4HX","支持textarea吗？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/lir4HX","",""
"OzvrAU","登录时有拖动的验证码/滑块验证的应该怎么办？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/OzvrAU","policy|external-link",""
"msePBV","设置了批量输入文本，为什么只会爬取第一个文本的数据？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/msePBV","",""
"7xpcxt","假如使用判断语句 哪个命令是暂停的功能？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/7xpcxt","",""
"p0Fezk","IP一般建议多久切换一次","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/p0Fezk","",""
"a0rm9k","怎么关闭自动识别","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/a0rm9k","",""
"mViQFu","网站防采集，采集过程中出现验证码怎么办？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/mViQFu","external-link",""
"eQa4f5","对于要使用Ukey和CA的网站，怎么用八爪鱼登录？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/eQa4f5","",""
"BZfAJs","广告屏蔽功能说明","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/BZfAJs","",""
"BUVlkR","电脑IP被封了，网页打不开了？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/BUVlkR","version|external-link",""
"Wk6wGZ","什么是判断条件？有什么作用以及使用要点有哪些？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/Wk6wGZ","external-link",""
"ZedJim","如何清除缓存？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/ZedJim","",""
"NZvz84","如何打开多个网址(URL)进行采集？URL循环列表最多可以放多少条？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/NZvz84","version",""
"MVeN9y","如何采集商品的图片？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/MVeN9y","",""
"QLFK24","网页有循环下拉框需要筛选的怎么采集？循环下拉框如何使用？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/QLFK24","",""
"o1qAEs","八爪鱼可以设置采集当前时间吗？(采集时间)","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/o1qAEs","",""
"fatOS1","采集特定数据？如不出现某些文字的时候就不采集","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/fatOS1","",""
"VpVDWS","打开网页或点击元素后，出现异常弹窗怎么办？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/VpVDWS","",""
"4mBhyR","什么是触发器，如何使用？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/4mBhyR","price",""
"ebd0Ry","网站需要登录用户名和密码的，能采集么？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/ebd0Ry","",""
"lqiGdU","如何采集详情页的数据？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/lqiGdU","",""
"dcyCxy","如何批量获取/采集某网站数据？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/dcyCxy","",""
"Dvdfv2","有多个网页怎么做规则去采集？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/Dvdfv2","",""
"74YlOL","如何去除段落？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/74YlOL","",""
"4WKlhZ","采集的网站有iframe框架怎么办？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/4WKlhZ","",""
"VbeVB5","生成循环列表时，出现的不是教程中的“点击元素”而是“提取数据”，如何处理？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/VbeVB5","",""
"LiRTXN","如何格式化数据？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/LiRTXN","external-link",""
"LDRIch","URL循环如何使用？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/LDRIch","external-link",""
"ADYUhx","提取到的文本数据，有很多空格如何处理？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/ADYUhx","external-link",""
"8BOpqQ","云采集为什么比本地采集还慢？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/8BOpqQ","policy|external-link","80mTJA"
"sRYVlP","如何分配任务节点？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/sRYVlP","external-link",""
"bBkVFq","一直在第一第二页重复采集怎么办？一二页循环采集，不采集后面的数据？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/bBkVFq","external-link",""
"Y1rVzc","网页上没有下一页按钮，如何实现翻页采集？特殊翻页如何采集？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/Y1rVzc","external-link",""
"s4aFmb","正则表达式是什么，有什么用，如何使用正则表达式？数据格式化里的正则表达式怎么用？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/s4aFmb","contact|external-link",""
"LSjcDz","什么是ajax/何时要设置AJAX/如何设置AJAX？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/LSjcDz","external-link",""
"kH7ZdQ","如何创建循环？循环翻页/循环提取数据怎么使用？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/kH7ZdQ","external-link",""
"LtP3ml","怎样创建循环翻页？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/LtP3ml","external-link",""
"z592YI","文本循环如何使用？如何批量输入关键词进行搜索？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/z592YI","external-link",""
"JleRkS","如何用XPATH自定义抓取特定网页文字？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/JleRkS","external-link",""
"AK8NCp","如何采集带“更多信息”、“加载更多”、“查看更多”之类的网站？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/AK8NCp","external-link",""
"3HBfJN","如何利用xpath中的following-sibling和preceding-sibling定位标签？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/3HBfJN","external-link",""
"ktxUul","什么是不固定元素列表？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/ktxUul","external-link",""
"2mcYOX","如何采集列表数据？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/2mcYOX","external-link",""
"VeTcKn","没有翻页按钮，通过选择日期、地址等方式来进行翻页，该如何处理？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/VeTcKn","external-link",""
"IMVJqe","如何通过关键词/关键字采集搜索结果？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/IMVJqe","external-link",""
"1Mj5TU","点击下一页按钮，不出现循环点击下一页怎么办？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/1Mj5TU","external-link",""
"0Cuep5","为什么每次清理cookie就未响应了？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/0Cuep5","contact",""
"Bb6b9J","如何自定义字段提取数据？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/Bb6b9J","external-link",""
"xYh8DJ","在打开详情页时，设置在新标签中打开则无法提取到数据，不设置在新标签中打开则只能提取到一条数据，循环无法跳回。","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/xYh8DJ","external-link",""
"tlQfFR","采集到的数据如何去除重复数据？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/tlQfFR","external-link",""
"dLdh4d","数据需要一层一层打开页面才能抓到？单击不行，双击才能打开页面？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/dLdh4d","external-link",""
"hhhvLH","需要搜索或者输入一批关键词，在采集搜索之后的结果怎么操作？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/hhhvLH","external-link",""
"B2MLnT","json采集如何自定义request header？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/B2MLnT","",""
"OKDTMI","循环下拉框是否可以嵌套？如何嵌套？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/OKDTMI","external-link",""
"3LXy2r","增量采集功能说明","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/3LXy2r","external-link",""
"GjaymZ","页面需要滚动，滚动条下拉才加载的数据应该如何采集？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/GjaymZ","external-link",""
"A3LxIh","打开网页后，页面加载不全/显示不全怎么办？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/A3LxIh","",""
"nFlGUi","网页源码有图片地址，但是软件识别不出来，没有“采集该图片地址”的选项怎么办？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/nFlGUi","version|external-link",""
"z4noSr","数据被不断替换，怎么办？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/z4noSr","",""
"w99uaz","正则工具如何使用","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/w99uaz","external-link",""
"QxsQFO","元素是什么？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/QxsQFO","version|external-link",""
"fGjj5G","编写规则时，页面跳转到新页面，无法继续编辑怎么办？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/fGjj5G","",""
"TwskpT","如何设置循环翻页的次数？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/TwskpT","","tkTJSk"
"lkC6cP","如何切换任务中网址","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/lkC6cP","",""
"VTotut","企业版能不能解决网站的反爬？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/VTotut","version",""
"IP7Qyj","海外网站怎么采集？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/IP7Qyj","",""
"K8qK4Q","一直采集最后一页怎么办？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/K8qK4Q","external-link",""
"joFUIv","什么是翻页死循环？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/joFUIv","","epj8vl"
"nIYKYi","为什么任务之前采集正常，现在采集不了了？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/nIYKYi","",""
"wnPmd7","在哪里修改字段的xpath？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/wnPmd7","external-link",""
"aY17aH","在哪里修改循环翻页的xpath？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/aY17aH","",""
"rx72JU","在哪里修改循环列表的xpath？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/rx72JU","",""
"cOYPVd","一个任务可以输入多个关键词采集吗？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/cOYPVd","",""
"hm4SBh","只想采集当天或者指定时间的数据怎么设置？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/hm4SBh","",""
"Y7BCSt","采集时前半程没问题，后面就采不到数据或者只能采到极少数的数据？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/Y7BCSt","external-link",""
"wei-shen-me-zhi-neng-cai-ji-1-tiao-shu-ju-jiu-jie-shu-le","为什么只能采集1条数据就结束了？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/wei-shen-me-zhi-neng-cai-ji-1-tiao-shu-ju-jiu-jie-shu-le","external-link",""
"wu-biao-ti-wen-zhang","无标题文章","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/wu-biao-ti-wen-zhang","external-link",""
"cai-ji-xin-wen-lei-shu-ju-shi-zheng-wen-zi-duan-zhong-zen-me-pei-zhi-ke-yi-ji-cai-ji-dao-wen-zi-you-neng-cai-ji-dao-liang-xing-wen-zi-zhong-jian-chuan-cha-de-tu-pian-ne","采集新闻类数据时，正文字段中怎么配置可以既采集到文字，又能采集到两行文字中间穿插的图片呢？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/cai-ji-xin-wen-lei-shu-ju-shi-zheng-wen-zi-duan-zhong-zen-me-pei-zhi-ke-yi-ji-cai-ji-dao-wen-zi-you-neng-cai-ji-dao-liang-xing-wen-zi-zhong-jian-chuan-cha-de-tu-pian-ne","",""
"xu-yao-zhan-kai-quan-wen-de-zen-me-cai-ji","需要展开全文的怎么采集？","操作类问题 / 自定义采集常见问题","/zh/knowledge-base/faq/operation/custom-collection/xu-yao-zhan-kai-quan-wen-de-zen-me-cai-ji","",""
"6tQV18","采集模板可以导出 / 修改 / 加字段吗？","操作类问题 / 简易模板","/zh/knowledge-base/faq/operation/template/6tQV18","contact",""
"8UV8qy","已有模板不符合需求，如何申请新模板？","操作类问题 / 简易模板","/zh/knowledge-base/faq/operation/template/8UV8qy","",""
"22IoTO","官网的简易模板如何使用？","操作类问题 / 简易模板","/zh/knowledge-base/faq/operation/template/22IoTO","",""
"Pve10X","简易采集模式是什么？","操作类问题 / 简易模板","/zh/knowledge-base/faq/operation/template/Pve10X","",""
"2hht4u","软件内置的模板可以修改吗？","操作类问题 / 简易模板","/zh/knowledge-base/faq/operation/template/2hht4u","external-link",""
"Posl3u","模板不满足需求怎么办？","操作类问题 / 简易模板","/zh/knowledge-base/faq/operation/template/Posl3u","external-link",""
"HLkqXo","使用淘宝商品评论模板无法采集？","操作类问题 / 简易模板","/zh/knowledge-base/faq/operation/template/HLkqXo","",""
"0piy6h","有无免费的模板？","操作类问题 / 简易模板","/zh/knowledge-base/faq/operation/template/0piy6h","external-link",""
"lW9Hd0","有境外采集模板吗？","操作类问题 / 简易模板","/zh/knowledge-base/faq/operation/template/lW9Hd0","external-link",""
"NLJWIa","八爪鱼的亚马逊模板可以采集哪个站点的数据？","操作类问题 / 简易模板","/zh/knowledge-base/faq/operation/template/NLJWIa","",""
"jt7SOf","使用简易模板时，提示账号权限不足？","操作类问题 / 简易模板","/zh/knowledge-base/faq/operation/template/jt7SOf","price|policy",""
"VgFfA7","软件内置的简易模板采集出来的数据为什么没有电话？","操作类问题 / 简易模板","/zh/knowledge-base/faq/operation/template/VgFfA7","contact",""
"nfqvbQ","为什么有些简易模板不能用本地采集？","操作类问题 / 简易模板","/zh/knowledge-base/faq/operation/template/nfqvbQ","price|version|external-link",""
"mu-ban-dai-li-ip-shi-yong","模板代理ip使用","操作类问题 / 简易模板","/zh/knowledge-base/faq/operation/template/mu-ban-dai-li-ip-shi-yong","price|version",""
"R1idQd","如何删除任务组？","操作类问题 / 任务列表","/zh/knowledge-base/faq/operation/tasks/R1idQd","",""
"rsOKhC","300个任务上限是一天还是多久？","操作类问题 / 任务列表","/zh/knowledge-base/faq/operation/tasks/rsOKhC","price",""
"HCVWrG","已保存的配置在哪儿看啊？","操作类问题 / 任务列表","/zh/knowledge-base/faq/operation/tasks/HCVWrG","",""
"zaNIlj","怎么清空云数据？","操作类问题 / 任务列表","/zh/knowledge-base/faq/operation/tasks/zaNIlj","",""
"QGZmQB","如何批量删除任务？","操作类问题 / 任务列表","/zh/knowledge-base/faq/operation/tasks/QGZmQB","",""
"Gd2Mit","如何获取任务的task id？","操作类问题 / 任务列表","/zh/knowledge-base/faq/operation/tasks/Gd2Mit","",""
"LzSjMr","如何删除不需要的任务？","操作类问题 / 任务列表","/zh/knowledge-base/faq/operation/tasks/LzSjMr","",""
"msrf80","如何导入任务？","操作类问题 / 任务列表","/zh/knowledge-base/faq/operation/tasks/msrf80","",""
"ShNNAL","如何导出任务？","操作类问题 / 任务列表","/zh/knowledge-base/faq/operation/tasks/ShNNAL","",""
"FiaeZ3","已删除任务能否找回？","操作类问题 / 任务列表","/zh/knowledge-base/faq/operation/tasks/FiaeZ3","",""
"YtR0nh","同时运行任务数是什么？","操作类问题 / 任务列表","/zh/knowledge-base/faq/operation/tasks/YtR0nh","price|policy|version|external-link",""
"dGwQXR","如何复制任务副本？","操作类问题 / 任务列表","/zh/knowledge-base/faq/operation/tasks/dGwQXR","",""
"u7RcIF","保存不了任务","操作类问题 / 任务列表","/zh/knowledge-base/faq/operation/tasks/u7RcIF","",""
" -qing-wen-you-mei-you-huo-qu-dang-qian-zhang-hao-xia-zheng-zai-cai-ji-ren-wu-de-api-jie-kou"," 请问有没有获取当前账号下，正在采集任务的api接口？","操作类问题 / 任务列表","/zh/knowledge-base/faq/operation/tasks/ -qing-wen-you-mei-you-huo-qu-dang-qian-zhang-hao-xia-zheng-zai-cai-ji-ren-wu-de-api-jie-kou","policy|external-link",""
"a9097w","如何调用API接口导出数据？","操作类问题 / 数据导出","/zh/knowledge-base/faq/operation/export/a9097w","external-link",""
"5t6NxN","导出数据是否有上限？超过上限怎么办？","操作类问题 / 数据导出","/zh/knowledge-base/faq/operation/export/5t6NxN","price|version|external-link",""
"BMgEpj","read ECONNRESET","操作类问题 / 数据导出","/zh/knowledge-base/faq/operation/export/BMgEpj","external-link",""
"k4xfiP","ER_NO_DEFAULT_FOR_FIELD:Fied'art_title'doens't have a default value","操作类问题 / 数据导出","/zh/knowledge-base/faq/operation/export/k4xfiP","external-link",""
"JHae3d","采集完可以进行批量处理吗","操作类问题 / 数据导出","/zh/knowledge-base/faq/operation/export/JHae3d","",""
"oKRAbt","可不可以导出txt格式","操作类问题 / 数据导出","/zh/knowledge-base/faq/operation/export/oKRAbt","",""
"50wrTo","请问怎么只导出部分数据？","操作类问题 / 数据导出","/zh/knowledge-base/faq/operation/export/50wrTo","",""
"eHLBW5","API导出数据size最大是1000条，如果一次性采集的数据超过1000条，应该怎么导出","操作类问题 / 数据导出","/zh/knowledge-base/faq/operation/export/eHLBW5","external-link",""
